time,frame_id,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1695706667.5692732,map,1.8338657740489248,0.0,0.0,0.0,0.0,-0.009499277611812207
1695706667.5895169,map,1.8743700255352134,0.0,0.0,0.0,0.0,-0.010806269676457139
1695706667.6092296,map,1.8903326355370342,0.0,0.0,0.0,0.0,-0.01080696482375083
1695706667.6292672,map,1.9108115292308903,0.0,0.0,0.0,0.0,-0.009503845223441125
1695706667.6492445,map,1.9232048692692638,0.0,0.0,0.0,0.0,-0.00950315396376056
1695706667.6693137,map,1.9412472953079283,0.0,0.0,0.0,0.0,-0.011983109075215829
1695706667.6893625,map,1.9534525869029162,0.0,0.0,0.0,0.0,-0.011985739883503807
1695706667.7097168,map,1.9762495866809797,0.0,0.0,0.0,0.0,-0.011612979019589355
1695706667.7295635,map,2.0131895717045856,0.0,0.0,0.0,0.0,-0.011970229292961553
1695706667.7492726,map,2.0273527837847705,0.0,0.0,0.0,0.0,-0.011970419288700261
1695706667.7693172,map,2.043758082258598,0.0,0.0,0.0,0.0,-0.010622676136708607
1695706667.789732,map,2.0548622496673277,0.0,0.0,0.0,0.0,-0.010621251127356965
1695706667.8093133,map,2.078773596901106,0.0,0.0,0.0,0.0,-0.00951261220182821
1695706667.8292675,map,2.093210296067218,0.0,0.0,0.0,0.0,-0.009512219625156823
1695706667.8491735,map,2.1131760879913886,0.0,0.0,0.0,0.0,-0.008617986581707883
1695706667.8695538,map,2.1452413212658303,0.0,0.0,0.0,0.0,-0.007411463738886287
1695706667.889746,map,2.157735219036079,0.0,0.0,0.0,0.0,-0.007410824932961436
1695706667.9092565,map,2.175051770468516,0.0,0.0,0.0,0.0,-0.00745526526723296
1695706667.9296799,map,2.205746792161684,0.0,0.0,0.0,0.0,-0.006668173361838779
1695706667.9509232,map,2.218797621087059,0.0,0.0,0.0,0.0,-0.0066677558643090384
1695706667.9695723,map,2.239707300586827,0.0,0.0,0.0,0.0,-0.007611285300903467
1695706667.9901552,map,2.251359979987113,0.0,0.0,0.0,0.0,-0.007612283682643425
1695706668.0097249,map,2.2717211702121407,0.0,0.0,0.0,0.0,-0.009376515998533135
1695706668.0303116,map,2.284323474093732,0.0,0.0,0.0,0.0,-0.009377453654853561
1695706668.0492787,map,2.3060387995981726,0.0,0.0,0.0,0.0,-0.010755849084687226
1695706668.069774,map,2.3195818932192327,0.0,0.0,0.0,0.0,-0.010756580475516413
1695706668.0893524,map,2.335635961046034,0.0,0.0,0.0,0.0,-0.009697265164194134
1695706668.1105254,map,2.366707439534684,0.0,0.0,0.0,0.0,-0.007746320108844336
1695706668.1295617,map,2.3798202935575063,0.0,0.0,0.0,0.0,-0.0077452837533192815
1695706668.1496825,map,2.3960277992621126,0.0,0.0,0.0,0.0,-0.007287674693456555
1695706668.1696372,map,2.4071279819011226,0.0,0.0,0.0,0.0,-0.00728718983410197
1695706668.1896214,map,2.431600286291656,0.0,0.0,0.0,0.0,-0.008312579314407898
1695706668.209278,map,2.446441103825615,0.0,0.0,0.0,0.0,-0.008312942118166104
1695706668.2292786,map,2.465355919886848,0.0,0.0,0.0,0.0,-0.00807548617716208
1695706668.2497108,map,2.498831659081087,0.0,0.0,0.0,0.0,-0.00863335589153131
1695706668.269361,map,2.512047159769993,0.0,0.0,0.0,0.0,-0.008633652214593363
1695706668.2893424,map,2.531387752252047,0.0,0.0,0.0,0.0,-0.007988528425814344
1695706668.3095882,map,2.5435732658769648,0.0,0.0,0.0,0.0,-0.007988185447237464
1695706668.3292894,map,2.562027531879454,0.0,0.0,0.0,0.0,-0.008562922481134088
1695706668.3495424,map,2.573590305162509,0.0,0.0,0.0,0.0,-0.008563531530399864
1695706668.3693745,map,2.5939006663293123,0.0,0.0,0.0,0.0,-0.008302177437326386
1695706668.389302,map,2.6061838673923696,0.0,0.0,0.0,0.0,-0.008302084904965042
1695706668.4093552,map,2.6309380511302614,0.0,0.0,0.0,0.0,-0.008575562770131644
